ALT,P1,P2,P3,P4,P5,P6,T1,T2,T3,T4,T5,T6,H2O_1,H2O_2,H2O_3,H2O_4,H2O_5,H2O_6,CO2_1,CO2_2,CO2_3,CO2_4,CO2_5,CO2_6,O3_1,O3_2,O3_3,O3_4,O3_5,O3_6,N2O_1,N2O_2,N2O_3,N2O_4,N2O_5,N2O_6,CO_1,CO_2,CO_3,CO_4,CO_5,CO_6,CH4_1,CH4_2,CH4_3,CH4_4,CH4_5,CH4_6,O2_1,O2_2,O2_3,O2_4,O2_5,O2_6,BRD_1,BRD_2,BRD_3,BRD_4,BRD_5,BRD_6,NO,SO2,NO2,NH3,HNO3,OH,HF,HCL,HBR,HI,CLO,OCS,H2CO,HOCL,N2,HCN,CH3CL,H2O2,C2H2,C2H6,PH3,COF2,SF6,H2S,HCOOH,HO2,O,CLONO2,NOPLUS,HOBR,C2H4,CH3OH,CH3BR,CH3CN,CF4,C4H2,HC3N,H2,CS,SO3
0.0,1013.0,1013.0,1018.0,1010.0,1013.0,1013.0,299.7,294.2,272.2,287.2,257.2,288.2,0.02593,0.01876,0.004316,0.01194,0.001405,0.007745,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,2.869e-08,3.017e-08,2.778e-08,2.412e-08,1.802e-08,2.66e-08,3.2e-07,3.2e-07,3.2e-07,3.1e-07,3.2e-07,3.2e-07,1.5e-07,1.5e-07,1.5e-07,1.5e-07,1.5e-07,1.5e-07,1.7e-06,1.7e-06,1.7e-06,1.7e-06,1.7e-06,1.7e-06,0.209,0.209,0.209,0.209,0.209,0.209,2.45e+13,2.496e+13,2.711e+13,2.549e+13,2.855e+13,2.548e+13,3e-10,3e-10,2.3e-11,5e-10,5e-11,4.4e-14,1e-14,1e-09,1.7e-12,3e-12,1e-14,6e-10,2.4e-09,7.7e-12,0.781,1.7e-10,7e-10,2e-10,3e-10,2e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
1.0,904.0,902.0,897.3,896.0,887.8,898.8,293.7,289.7,268.7,281.7,259.1,281.7,0.01949,0.01378,0.003454,0.008701,0.001615,0.006071,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,3.15e-08,3.337e-08,2.8e-08,2.94e-08,2.072e-08,2.931e-08,3.2e-07,3.2e-07,3.2e-07,3.1e-07,3.2e-07,3.2e-07,1.45e-07,1.45e-07,1.45e-07,1.45e-07,1.45e-07,1.45e-07,1.7e-06,1.7e-06,1.7e-06,1.7e-06,1.7e-06,1.7e-06,0.209,0.209,0.209,0.209,0.209,0.209,2.231e+13,2.257e+13,2.42e+13,2.305e+13,2.484e+13,2.313e+13,3e-10,2.74e-10,2.3e-11,5e-10,5.96e-11,4.4e-14,1e-14,7.49e-10,1.7e-12,3e-12,1e-14,5.9e-10,1.07e-09,1.06e-11,0.781,1.65e-10,6.7e-10,1.95e-10,1.72e-10,2e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
2.0,805.0,802.0,789.7,792.9,777.5,795.0,287.7,285.2,265.2,276.3,255.9,275.2,0.01534,0.00968,0.002788,0.00675,0.001427,0.004631,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,3.342e-08,3.694e-08,2.849e-08,3.379e-08,2.336e-08,3.237e-08,3.2e-07,3.2e-07,3.2e-07,3.1e-07,3.2e-07,3.2e-07,1.399e-07,1.399e-07,1.399e-07,1.399e-07,1.399e-07,1.399e-07,1.7e-06,1.7e-06,1.7e-06,1.7e-06,1.7e-06,1.7e-06,0.209,0.209,0.209,0.209,0.209,0.209,2.028e+13,2.038e+13,2.158e+13,2.08e+13,2.202e+13,2.094e+13,3e-10,2.36e-10,2.3e-11,4.63e-10,6.93e-11,4.4e-14,1.23e-14,5.61e-10,1.7e-12,3e-12,1e-14,5.8e-10,4.04e-10,1.22e-11,0.781,1.63e-10,6.43e-10,1.92e-10,9.57e-11,2e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
3.0,715.0,710.0,693.8,700.0,679.8,701.2,283.7,279.2,261.7,270.9,252.7,268.7,0.0086,0.005984,0.002088,0.00482,0.001166,0.003182,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,3.504e-08,4.222e-08,3.2e-08,3.887e-08,2.767e-08,3.318e-08,3.2e-07,3.2e-07,3.2e-07,3.1e-07,3.2e-07,3.2e-07,1.349e-07,1.349e-07,1.349e-07,1.349e-07,1.349e-07,1.349e-07,1.7e-06,1.7e-06,1.7e-06,1.7e-06,1.7e-06,1.7e-06,0.209,0.209,0.209,0.209,0.209,0.209,1.827e+13,1.843e+13,1.922e+13,1.873e+13,1.95e+13,1.891e+13,3e-10,1.9e-10,2.3e-11,3.8e-10,7.91e-11,4.4e-14,1.97e-14,4.22e-10,1.7e-12,3e-12,1e-14,5.7e-10,2.27e-10,1.14e-11,0.781,1.61e-10,6.22e-10,1.89e-10,6.74e-11,2e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
4.0,633.0,628.0,608.1,616.0,593.2,616.6,277.0,273.2,255.7,265.5,247.7,262.2,0.004441,0.003813,0.00128,0.00338,0.0007898,0.002158,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,3.561e-08,4.821e-08,3.567e-08,4.478e-08,3.253e-08,3.387e-08,3.2e-07,3.2e-07,3.2e-07,3.079e-07,3.2e-07,3.2e-07,1.312e-07,1.312e-07,1.312e-07,1.312e-07,1.312e-07,1.312e-07,1.7e-06,1.697e-06,1.697e-06,1.697e-06,1.697e-06,1.7e-06,0.209,0.209,0.209,0.209,0.209,0.209,1.656e+13,1.666e+13,1.724e+13,1.682e+13,1.736e+13,1.704e+13,3e-10,1.46e-10,2.3e-11,2.88e-10,8.87e-11,4.4e-14,3.18e-14,3.19e-10,1.7e-12,3e-12,1e-14,5.62e-10,1.4e-10,9.8e-12,0.781,1.6e-10,6.07e-10,1.84e-10,5.07e-11,1.98e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
5.0,559.0,554.0,531.3,541.0,515.8,540.5,270.3,267.2,249.7,260.1,240.9,255.7,0.003346,0.002225,0.0008241,0.002218,0.0004309,0.001397,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,3.767e-08,5.512e-08,4.72e-08,5.328e-08,3.801e-08,3.768e-08,3.2e-07,3.2e-07,3.2e-07,3.024e-07,3.2e-07,3.2e-07,1.303e-07,1.303e-07,1.303e-07,1.303e-07,1.303e-07,1.303e-07,1.7e-06,1.687e-06,1.687e-06,1.687e-06,1.687e-06,1.7e-06,0.209,0.209,0.209,0.209,0.209,0.209,1.499e+13,1.503e+13,1.542e+13,1.508e+13,1.552e+13,1.532e+13,3e-10,1.18e-10,2.3e-11,2.04e-10,9.75e-11,4.4e-14,5.63e-14,2.39e-10,1.7e-12,3e-12,1e-14,5.55e-10,1e-10,8.01e-12,0.781,1.6e-10,6.02e-10,1.77e-10,3.99e-11,1.95e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
6.0,492.0,487.0,462.7,474.0,446.7,472.2,263.6,261.2,243.7,253.1,234.1,249.2,0.002101,0.00151,0.0005103,0.00133,0.0002369,0.0009254,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,3.989e-08,6.408e-08,5.837e-08,6.564e-08,4.446e-08,4.112e-08,3.2e-07,3.2e-07,3.2e-07,2.906e-07,3.2e-07,3.2e-07,1.288e-07,1.288e-07,1.288e-07,1.288e-07,1.288e-07,1.288e-07,1.7e-06,1.672e-06,1.672e-06,1.672e-06,1.672e-06,1.7e-06,0.209,0.209,0.209,0.209,0.209,0.209,1.353e+13,1.351e+13,1.376e+13,1.357e+13,1.383e+13,1.373e+13,3e-10,9.71e-11,2.3e-11,1.46e-10,1.11e-10,4.4e-14,9.18e-14,1.79e-10,1.7e-12,3e-12,1e-14,5.48e-10,7.44e-11,6.42e-12,0.781,1.6e-10,6e-10,1.66e-10,3.19e-11,1.9e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
7.0,432.0,426.0,401.6,413.0,385.3,411.1,257.0,254.7,237.7,246.1,227.3,242.7,0.001289,0.00102,0.0002321,0.0007971,0.000147,0.000572,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,4.223e-08,7.764e-08,7.891e-08,7.738e-08,7.252e-08,5.009e-08,3.2e-07,3.2e-07,3.2e-07,2.822e-07,3.2e-07,3.2e-07,1.247e-07,1.247e-07,1.247e-07,1.247e-07,1.247e-07,1.247e-07,1.699e-06,1.649e-06,1.649e-06,1.649e-06,1.649e-06,1.699e-06,0.209,0.209,0.209,0.209,0.209,0.209,1.218e+13,1.212e+13,1.225e+13,1.216e+13,1.229e+13,1.228e+13,3e-10,8.3e-11,2.3e-11,9.88e-11,1.26e-10,4.41e-14,1.53e-13,1.32e-10,1.7e-12,3e-12,1e-14,5.4e-10,6.04e-11,5.42e-12,0.781,1.6e-10,6e-10,1.49e-10,2.8e-11,1.85e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
8.0,378.0,372.0,347.3,359.0,330.8,356.5,250.3,248.2,231.7,239.2,220.6,236.2,0.0007637,0.0006464,0.0001077,0.0003996,3.384e-05,0.0003667,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,4.471e-08,9.126e-08,1.039e-07,9.114e-08,1.04e-07,5.966e-08,3.2e-07,3.195e-07,3.195e-07,2.759e-07,3.195e-07,3.2e-07,1.185e-07,1.185e-07,1.185e-07,1.185e-07,1.185e-07,1.185e-07,1.697e-06,1.629e-06,1.629e-06,1.629e-06,1.629e-06,1.697e-06,0.209,0.209,0.209,0.209,0.209,0.209,1.095e+13,1.086e+13,1.086e+13,1.088e+13,1.087e+13,1.094e+13,3e-10,7.21e-11,2.3e-11,6.48e-11,1.39e-10,4.45e-14,2.41e-13,9.96e-11,1.7e-12,3e-12,1.01e-14,5.32e-10,5.01e-11,4.7e-12,0.781,1.6e-10,5.98e-10,1.23e-10,2.55e-11,1.79e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
9.0,329.0,324.0,299.3,310.8,282.9,308.0,243.6,241.7,225.7,232.2,217.2,229.7,0.0004098,0.0004129,5.566e-05,0.00013,2.976e-05,0.0001583,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,5e-08,1.111e-07,1.567e-07,1.42e-07,2.1e-07,9.168e-08,3.195e-07,3.163e-07,3.163e-07,2.703e-07,3.163e-07,3.195e-07,1.094e-07,1.094e-07,1.094e-07,1.094e-07,1.094e-07,1.094e-07,1.693e-06,1.615e-06,1.615e-06,1.615e-06,1.615e-06,1.693e-06,0.209,0.209,0.209,0.209,0.209,0.209,9.789e+12,9.716e+12,9.612e+12,9.701e+12,9.44e+12,9.719e+12,3e-10,6.56e-11,2.32e-11,3.77e-11,1.53e-10,4.56e-14,4.04e-13,7.48e-11,1.7e-12,3e-12,1.05e-14,5.25e-10,4.22e-11,4.41e-12,0.781,1.6e-10,5.94e-10,9.09e-11,2.4e-11,1.72e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
10.0,286.0,281.0,256.8,267.7,241.8,265.0,237.0,235.3,219.7,225.2,217.2,223.3,0.0001912,0.0002472,2.96e-05,4.24e-05,2e-05,6.996e-05,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,5.595e-08,1.304e-07,2.37e-07,1.89e-07,3e-07,1.313e-07,3.179e-07,3.096e-07,3.096e-07,2.651e-07,3.096e-07,3.179e-07,9.962e-08,9.962e-08,9.962e-08,9.962e-08,9.962e-08,9.962e-08,1.685e-06,1.579e-06,1.579e-06,1.579e-06,1.579e-06,1.685e-06,0.209,0.209,0.209,0.209,0.209,0.209,8.747e+12,8.656e+12,8.472e+12,8.616e+12,8.069e+12,8.602e+12,3e-10,6.08e-11,2.38e-11,2.03e-11,1.74e-10,4.68e-14,6.57e-13,5.68e-11,1.7e-12,3e-12,1.21e-14,5.18e-10,3.63e-11,4.34e-12,0.781,1.6e-10,5.88e-10,5.79e-11,2.27e-11,1.58e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
11.0,247.0,243.0,219.9,230.0,206.7,227.0,230.1,228.8,219.2,225.2,217.2,216.8,7.306e-05,9.556e-05,1e-05,1.33e-05,1e-05,3.613e-05,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,6.613e-08,1.793e-07,3.624e-07,3.05e-07,3.5e-07,2.149e-07,3.14e-07,2.989e-07,2.989e-07,2.6e-07,2.989e-07,3.14e-07,8.964e-08,8.964e-08,8.964e-08,8.964e-08,8.964e-08,8.964e-08,1.675e-06,1.542e-06,1.542e-06,1.542e-06,1.542e-06,1.675e-06,0.209,0.209,0.209,0.209,0.209,0.209,7.78e+12,7.698e+12,7.271e+12,7.402e+12,6.898e+12,7.589e+12,3e-10,5.79e-11,2.62e-11,1.09e-11,2.02e-10,4.8e-14,1.2e-12,4.59e-11,1.7e-12,3e-12,1.87e-14,5.09e-10,3.43e-11,4.65e-12,0.781,1.6e-10,5.79e-10,3.43e-11,2.08e-11,1.3e-09,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
12.0,213.0,209.0,188.2,197.7,176.6,194.0,223.6,222.3,218.7,225.2,217.2,216.7,2.905e-05,2.944e-05,6e-06,6e-06,6e-06,1.906e-05,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,7.815e-08,2.23e-07,5.232e-07,4.1e-07,4e-07,3.095e-07,3.095e-07,2.936e-07,2.936e-07,2.549e-07,2.936e-07,3.095e-07,7.814e-08,7.814e-08,7.814e-08,7.814e-08,7.814e-08,7.814e-08,1.662e-06,1.508e-06,1.508e-06,1.506e-06,1.506e-06,1.662e-06,0.209,0.209,0.209,0.209,0.209,0.209,6.904e+12,6.814e+12,6.237e+12,6.363e+12,5.893e+12,6.489e+12,3e-10,5.6e-11,3.15e-11,6.3e-12,2.41e-10,4.94e-14,1.96e-12,4.36e-11,1.7e-12,3e-12,3.18e-14,4.98e-10,3.39e-11,5.01e-12,0.781,1.6e-10,5.66e-10,1.95e-11,1.76e-11,9.86e-10,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
13.0,182.0,179.0,161.1,170.0,151.0,165.8,217.0,215.8,218.2,225.2,217.2,216.7,9.9e-06,8e-06,5e-06,4.45e-06,4.45e-06,1.085e-05,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,9.289e-08,3e-07,7.036e-07,5e-07,6.5e-07,3.846e-07,3.048e-07,2.86e-07,2.86e-07,2.494e-07,2.86e-07,3.048e-07,6.374e-08,6.374e-08,6.374e-08,6.374e-08,6.374e-08,6.374e-08,1.645e-06,1.479e-06,1.479e-06,1.471e-06,1.471e-06,1.645e-06,0.209,0.209,0.209,0.209,0.209,0.209,6.079e+12,6.012e+12,5.351e+12,5.471e+12,5.039e+12,5.546e+12,2.99e-10,5.59e-11,4.45e-11,3.12e-12,2.76e-10,5.19e-14,3.12e-12,6.51e-11,1.7e-12,3e-12,5.61e-14,4.82e-10,3.5e-11,5.22e-12,0.781,1.59e-10,5.48e-10,1.08e-11,1.23e-11,7.22e-10,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
14.0,156.0,153.0,137.8,146.0,129.1,141.7,210.3,215.7,217.7,225.2,217.2,216.7,6.22e-06,5e-06,4.8e-06,4e-06,4.5e-06,5.927e-06,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,1.05e-07,4.4e-07,8e-07,6e-07,9e-07,5.03e-07,2.999e-07,2.8e-07,2.8e-07,2.433e-07,2.8e-07,2.999e-07,5.025e-08,5.025e-08,5.025e-08,5.025e-08,5.025e-08,5.025e-08,1.626e-06,1.451e-06,1.451e-06,1.434e-06,1.434e-06,1.626e-06,0.209,0.209,0.209,0.209,0.209,0.209,5.377e+12,5.141e+12,4.588e+12,4.699e+12,4.308e+12,4.739e+12,2.95e-10,5.64e-11,7.48e-11,1.11e-12,3.33e-10,5.65e-14,4.62e-12,1.01e-10,1.7e-12,3e-12,9.99e-14,4.6e-10,3.62e-11,5.6e-12,0.781,1.57e-10,5.28e-10,6.59e-12,7.32e-12,4.96e-10,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
15.0,132.0,130.0,117.8,126.0,110.3,121.1,203.7,215.7,217.2,225.2,217.2,216.7,4e-06,3.4e-06,4.7e-06,4e-06,4.55e-06,5e-06,0.00033,0.00033,0.00033,0.00033,0.00033,0.00033,1.256e-07,5e-07,9e-07,7e-07,1.2e-06,6.505e-07,2.944e-07,2.724e-07,2.724e-07,2.355e-07,2.724e-07,2.944e-07,3.941e-08,3.941e-08,3.941e-08,3.941e-08,3.941e-08,3.941e-08,1.605e-06,1.422e-06,1.422e-06,1.389e-06,1.389e-06,1.605e-06,0.209,0.209,0.209,0.209,0.209,0.209,4.697e+12,4.368e+12,3.931e+12,4.055e+12,3.681e+12,4.05e+12,2.83e-10,5.75e-11,1.71e-10,4.47e-13,4.52e-10,6.75e-14,7.09e-12,1.63e-10,1.7e-12,3e-12,1.78e-13,4.26e-10,3.62e-11,6.86e-12,0.781,1.55e-10,5.03e-10,4.2e-12,4.52e-12,3.35e-10,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
