ALTX,CLONO2,HNO4,CHCL2F,CCL4,F11,F12,C2CL2F4,C2CL3F3,N2O5,HNO3,CF4,CHCLF2,CCLF3,C2CLF5,NO2,PAN,ACET,CH3CN,CHF2CF3,CFH2CF3,CF3CH3,CH3CHF2,CH2F2,CCl2FCH3,CH3CClF2,??????,CHCl2CF3,CHClFCF3,CHCl2C2F5,C2HCl2F3CF2,SO2,ISOP,CHF3
0.0,4.7369999999999997e-12,8.8509999999999993e-13,nan,1.2999999999999999e-10,1.3999999999999998e-10,2.4e-10,1.2000000000000001e-11,1.8999999999999999e-11,1.3119999999999999e-16,5.738e-11,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.2999999999999998e-11,6.5939999999999995e-14,4.7700000000000001e-10,1e-10,2e-12,9.6589999999999999e-12,2e-12,2e-12,3.8539999999999995e-12,1.1199999999999999e-11,1.077e-11,nan,nan,nan,nan,nan,2.9999999999999995e-10,1.01e-10,2.1439999999999999e-11
1.0,4.1620000000000002e-12,2.0310000000000001e-12,nan,1.2999999999999999e-10,1.3999999999999998e-10,2.4e-10,1.2000000000000001e-11,1.8999999999999999e-11,4.0649999999999995e-16,6.6709999999999995e-11,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.2999999999999998e-11,1.467e-13,5.4049999999999994e-10,1e-10,1.9829999999999999e-12,9.5779999999999998e-12,1.9829999999999999e-12,1.9829999999999999e-12,3.8029999999999999e-12,1.1109999999999999e-11,1.0679999999999999e-11,nan,nan,nan,nan,nan,2.7399999999999998e-10,2.8500000000000002e-11,2.1399999999999998e-11
2.0,3.587e-12,3.1769999999999995e-12,nan,1.2990000000000001e-10,1.399e-10,2.3989999999999997e-10,1.2000000000000001e-11,1.8989999999999997e-11,6.8179999999999996e-16,7.6029999999999995e-11,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.2999999999999998e-11,8.6049999999999992e-13,6.1390000000000002e-10,1e-10,1.9680000000000001e-12,9.5039999999999999e-12,1.9680000000000001e-12,1.9680000000000001e-12,3.7550000000000001e-12,1.1019999999999999e-11,1.0589999999999999e-11,nan,nan,nan,nan,nan,2.3599999999999996e-10,6.7700000000000004e-12,2.1359999999999998e-11
3.0,2.8909999999999997e-12,7.4439999999999994e-12,nan,1.2990000000000001e-10,1.399e-10,2.3989999999999997e-10,1.2000000000000001e-11,1.8989999999999997e-11,5.3289999999999999e-14,8.1759999999999997e-11,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.2999999999999998e-11,2.2529999999999998e-12,7.2259999999999997e-10,1e-10,1.9510000000000001e-12,9.4229999999999997e-12,1.9510000000000001e-12,1.9510000000000001e-12,3.7230000000000002e-12,1.093e-11,1.0499999999999999e-11,nan,nan,nan,nan,nan,1.8999999999999999e-10,1.8800000000000001e-12,2.1339999999999998e-11
4.0,2.1950000000000002e-12,1.1709999999999999e-11,nan,1.2980000000000001e-10,1.398e-10,2.3979999999999999e-10,1.199e-11,1.8980000000000002e-11,1.059e-13,8.7479999999999992e-11,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.2999999999999998e-11,3.5059999999999998e-12,8.225e-10,1e-10,1.934e-12,9.3419999999999996e-12,1.934e-12,1.934e-12,3.7069999999999995e-12,1.083e-11,1.0409999999999999e-11,nan,nan,nan,nan,nan,1.4599999999999999e-10,1.1799999999999998e-12,2.1319999999999997e-11
5.0,1.7170000000000001e-12,1.9619999999999999e-11,nan,1.297e-10,1.3969999999999999e-10,2.3979999999999999e-10,1.199e-11,1.8980000000000002e-11,1.1769999999999999e-12,9.1529999999999993e-11,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.2999999999999998e-11,5.1689999999999995e-12,9.2840000000000002e-10,1e-10,1.9190000000000002e-12,9.2679999999999997e-12,1.9190000000000002e-12,1.9190000000000002e-12,3.6970000000000001e-12,1.075e-11,1.0329999999999998e-11,nan,nan,nan,nan,nan,1.1799999999999998e-10,1.1499999999999999e-12,2.1309999999999999e-11
6.0,1.238e-12,2.7519999999999999e-11,nan,1.296e-10,1.3959999999999999e-10,2.3970000000000001e-10,1.199e-11,1.897e-11,2.2479999999999997e-12,9.5579999999999995e-11,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.2999999999999998e-11,1.0879999999999999e-11,9.8469999999999992e-10,1e-10,1.9019999999999998e-12,9.185999999999999e-12,1.9019999999999998e-12,1.9019999999999998e-12,3.6890000000000001e-12,1.0649999999999998e-11,1.024e-11,nan,nan,nan,nan,nan,9.7099999999999993e-11,1.04e-12,2.1299999999999997e-11
7.0,9.7749999999999982e-13,3.2839999999999993e-11,nan,1.2949999999999999e-10,1.3959999999999999e-10,2.3959999999999998e-10,1.199e-11,1.8960000000000002e-11,2.435e-12,9.9139999999999993e-11,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.2999999999999998e-11,1.62e-11,1.012e-09,1e-10,1.8869999999999999e-12,9.1129999999999996e-12,1.8869999999999999e-12,1.8869999999999999e-12,3.6810000000000002e-12,1.057e-11,1.0159999999999999e-11,nan,nan,nan,nan,nan,8.2999999999999998e-11,1.0899999999999998e-12,2.1290000000000002e-11
8.0,7.1699999999999997e-13,3.8160000000000001e-11,nan,1.2939999999999999e-10,1.3949999999999998e-10,2.395e-10,1.198e-11,1.895e-11,2.6219999999999999e-12,1.0269999999999999e-10,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.2999999999999998e-11,1.8919999999999998e-11,1.0330000000000001e-09,1e-10,1.8699999999999999e-12,9.0310000000000006e-12,1.8699999999999999e-12,1.8699999999999999e-12,3.6699999999999995e-12,1.0469999999999999e-11,1.0069999999999999e-11,nan,nan,nan,nan,nan,7.2100000000000002e-11,1.2699999999999998e-12,2.128e-11
9.0,6.2309999999999994e-13,3.5760000000000001e-11,nan,1.2929999999999998e-10,1.394e-10,2.3939999999999997e-10,1.198e-11,1.8940000000000001e-11,2.5259999999999999e-12,1.111e-10,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.3200000000000001e-11,2.2129999999999999e-11,9.9689999999999994e-10,1e-10,1.8519999999999998e-12,8.9430000000000002e-12,1.8519999999999998e-12,1.8519999999999998e-12,3.6550000000000001e-12,1.037e-11,9.966999999999999e-12,nan,nan,nan,nan,nan,6.5599999999999998e-11,9.3899999999999994e-13,2.1259999999999999e-11
10.0,5.2919999999999991e-13,3.3359999999999995e-11,nan,1.2919999999999998e-10,1.3919999999999999e-10,2.3929999999999999e-10,1.198e-11,1.893e-11,2.4299999999999999e-12,1.195e-10,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.3799999999999998e-11,2.758e-11,8.5220000000000001e-10,8.0000000000000008e-11,1.8300000000000001e-12,8.8389999999999998e-12,1.8300000000000001e-12,1.8300000000000001e-12,3.6289999999999996e-12,1.025e-11,9.8519999999999996e-12,nan,nan,nan,nan,nan,6.0799999999999999e-11,6.9599999999999996e-13,2.1219999999999999e-11
11.0,5.3129999999999997e-13,2.9280000000000001e-11,nan,1.2889999999999999e-10,1.3889999999999998e-10,2.39e-10,1.197e-11,1.8899999999999997e-11,2.7139999999999999e-12,1.431e-10,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,2.6199999999999997e-11,2.6719999999999999e-11,5.4999999999999996e-10,6e-11,1.8229999999999998e-12,8.8029999999999995e-12,1.8229999999999998e-12,1.8229999999999998e-12,3.5839999999999997e-12,1.021e-11,9.8110000000000001e-12,nan,nan,nan,nan,nan,5.7899999999999995e-11,4.9399999999999991e-13,2.1140000000000001e-11
12.0,5.3340000000000003e-13,2.5189999999999999e-11,nan,1.285e-10,1.3859999999999999e-10,2.3870000000000001e-10,1.196e-11,1.8869999999999999e-11,2.9979999999999999e-12,1.667e-10,6.9999999999999991e-11,9.3499999999999987e-11,5.0000000000000005e-12,3.9999999999999999e-12,3.1500000000000001e-11,2.4640000000000002e-11,2.464e-10,4.0000000000000004e-11,1.8149999999999998e-12,8.7660000000000004e-12,1.8149999999999998e-12,1.8149999999999998e-12,3.5339999999999997e-12,1.0159999999999999e-11,9.769999999999999e-12,nan,nan,nan,nan,nan,5.5999999999999994e-11,3.4099999999999996e-13,2.106e-11
13.0,1.451e-12,2.8139999999999999e-11,nan,1.2659999999999998e-10,1.3679999999999998e-10,2.3699999999999996e-10,1.1909999999999999e-11,1.8709999999999999e-11,7.3539999999999996e-12,3.2169999999999999e-10,6.9999999999999991e-11,9.3499999999999987e-11,4.5800000000000003e-12,3.7399999999999998e-12,4.4499999999999995e-11,3.6699999999999993e-11,1.0329999999999999e-10,2.0000000000000002e-11,1.7899999999999998e-12,8.6430000000000002e-12,1.7899999999999998e-12,1.7899999999999998e-12,3.491e-12,1.002e-11,9.6329999999999998e-12,nan,nan,nan,nan,nan,5.5899999999999996e-11,2.1499999999999999e-13,2.0979999999999998e-11
14.0,2.368e-12,3.1089999999999999e-11,nan,1.2469999999999999e-10,1.3489999999999999e-10,2.353e-10,1.185e-11,1.8539999999999998e-11,1.1709999999999999e-11,4.7659999999999999e-10,6.9999999999999991e-11,9.3499999999999987e-11,4.1999999999999991e-12,3.4999999999999996e-12,7.4800000000000003e-11,4.5199999999999996e-11,5.1340000000000001e-11,0.0,1.7650000000000001e-12,8.522000000000001e-12,1.7650000000000001e-12,1.7650000000000001e-12,3.4419999999999997e-12,9.8819999999999985e-12,9.4979999999999985e-12,nan,nan,nan,nan,nan,5.64e-11,1.07e-13,2.088e-11
15.0,1.037e-11,4.4060000000000001e-11,nan,1.1869999999999999e-10,1.2919999999999998e-10,2.3000000000000001e-10,1.167e-11,1.8029999999999998e-11,3.6380000000000001e-11,9.2729999999999999e-10,6.9999999999999991e-11,9.3499999999999987e-11,4.0499999999999999e-12,3.2399999999999999e-12,1.71e-10,4.5949999999999994e-11,2.252e-11,0.0,1.7259999999999999e-12,8.3349999999999995e-12,1.7259999999999999e-12,1.7259999999999999e-12,3.3649999999999999e-12,9.6649999999999997e-12,9.290000000000001e-12,nan,nan,nan,nan,nan,5.7500000000000002e-11,3.1300000000000003e-14,2.0740000000000001e-11
16.0,1.8369999999999997e-11,5.7029999999999996e-11,nan,1.127e-10,1.2339999999999998e-10,2.2469999999999998e-10,1.1489999999999999e-11,1.751e-11,6.1049999999999999e-11,1.378e-09,6.9999999999999991e-11,9.3499999999999987e-11,3.8999999999999999e-12,3.0000000000000001e-12,3.1899999999999998e-10,3.7410000000000003e-11,1.196e-11,0.0,1.6879999999999999e-12,8.1529999999999989e-12,1.6879999999999999e-12,1.6879999999999999e-12,3.237e-12,9.4539999999999991e-12,9.0869999999999995e-12,nan,nan,nan,nan,nan,5.7500000000000002e-11,4.6399999999999997e-15,2.05e-11
17.0,5.5710000000000001e-11,8.1269999999999994e-11,nan,1.026e-10,1.138e-10,2.1569999999999999e-10,1.1199999999999999e-11,1.664e-11,1.1569999999999999e-10,2.0699999999999997e-09,6.9999999999999991e-11,9.3410000000000004e-11,3.75e-12,2.79e-12,5.1899999999999997e-10,2.5109999999999998e-11,6.2039999999999998e-12,0.0,1.6309999999999998e-12,7.8750000000000003e-12,1.6309999999999998e-12,1.6309999999999998e-12,3.0410000000000001e-12,9.1319999999999995e-12,8.7770000000000011e-12,nan,nan,nan,nan,nan,5.3699999999999993e-11,2.7199999999999998e-16,2.0139999999999998e-11
18.0,9.3039999999999996e-11,1.055e-10,nan,9.2559999999999988e-11,1.0409999999999999e-10,2.0659999999999999e-10,1.0900000000000001e-11,1.5760000000000002e-11,1.703e-10,2.7620000000000002e-09,6.9999999999999991e-11,9.3309999999999999e-11,3.5999999999999996e-12,2.5999999999999998e-12,7.7099999999999992e-10,1.5679999999999998e-11,3.6769999999999998e-12,0.0,1.5749999999999999e-12,7.6059999999999997e-12,1.5749999999999999e-12,1.5749999999999999e-12,2.7889999999999999e-12,8.82e-12,8.478e-12,nan,nan,nan,nan,nan,4.7799999999999999e-11,1.2599999999999999e-17,1.9669999999999998e-11
19.0,1.7479999999999998e-10,1.3439999999999997e-10,nan,8.0370000000000003e-11,9.2159999999999995e-11,1.9519999999999998e-10,1.053e-11,1.4660000000000001e-11,2.4709999999999995e-10,3.5140000000000001e-09,6.9999999999999991e-11,9.3209999999999994e-11,3.45e-12,2.4499999999999999e-12,1.0599999999999999e-09,8.2309999999999992e-12,2.1849999999999997e-12,0.0,1.4920000000000001e-12,7.2039999999999996e-12,1.4920000000000001e-12,1.4920000000000001e-12,2.5259999999999999e-12,8.3539999999999993e-12,8.0299999999999987e-12,nan,nan,nan,nan,nan,3.9700000000000002e-11,1.0799999999999999e-19,1.9179999999999999e-11
20.0,2.5659999999999997e-10,1.6319999999999999e-10,nan,6.8170000000000009e-11,8.021e-11,1.8379999999999998e-10,1.0149999999999999e-11,1.356e-11,3.2389999999999999e-10,4.266e-09,6.9999999999999991e-11,9.3099999999999994e-11,3.3000000000000001e-12,2.2999999999999999e-12,1.39e-09,2.7870000000000001e-12,1.1450000000000001e-12,0.0,1.4129999999999999e-12,6.824e-12,1.4129999999999999e-12,1.4129999999999999e-12,2.2939999999999997e-12,7.9129999999999999e-12,7.6059999999999997e-12,nan,nan,nan,nan,nan,3.1900000000000001e-11,4.8999999999999996e-20,1.8739999999999998e-11
21.0,3.681e-10,1.9459999999999998e-10,nan,5.6110000000000001e-11,6.7990000000000003e-11,1.7119999999999999e-10,9.7310000000000004e-12,1.236e-11,4.2039999999999996e-10,4.8909999999999998e-09,6.9999999999999991e-11,9.296999999999999e-11,3.1999999999999997e-12,2.0899999999999998e-12,1.7599999999999999e-09,8.4559999999999995e-13,5.874e-13,0.0,1.3329999999999999e-12,6.4389999999999995e-12,1.3329999999999999e-12,1.3329999999999999e-12,2.0789999999999999e-12,7.4659999999999991e-12,7.1760000000000001e-12,nan,nan,nan,nan,nan,2.6699999999999996e-11,7.7900000000000005e-23,1.8339999999999998e-11
22.0,4.7959999999999998e-10,2.2599999999999997e-10,nan,4.4049999999999999e-11,5.5759999999999997e-11,1.585e-10,9.3109999999999986e-12,1.116e-11,5.1679999999999991e-10,5.5159999999999996e-09,6.9999999999999991e-11,9.2849999999999995e-11,3.0999999999999997e-12,1.9e-12,2.16e-09,1.467e-13,2.7139999999999998e-13,0.0,1.2580000000000001e-12,6.0769999999999992e-12,1.2580000000000001e-12,1.2580000000000001e-12,1.9060000000000002e-12,7.0459999999999997e-12,6.7729999999999995e-12,nan,nan,nan,nan,nan,2.2799999999999998e-11,3.9400000000000002e-23,1.8009999999999998e-11
